Artist,Song Title,Youtube Link
OutKast,Hey Ya!,https://www.youtube.com/results?search_query=OutKast+Hey+Ya%21
Beyonce,Crazy in Love,https://www.youtube.com/results?search_query=Beyonce+Crazy+in+Love
Usher,Yeah!,https://www.youtube.com/results?search_query=Usher+Yeah%21
Eminem,Lose Yourself,https://www.youtube.com/results?search_query=Eminem+Lose+Yourself
Coldplay,Yellow,https://www.youtube.com/results?search_query=Coldplay+Yellow
Green Day,Boulevard of Broken Dreams,https://www.youtube.com/results?search_query=Green+Day+Boulevard+of+Broken+Dreams
Rihanna,Umbrella,https://www.youtube.com/results?search_query=Rihanna+Umbrella
Kanye West,Stronger,https://www.youtube.com/results?search_query=Kanye+West+Stronger
Amy Winehouse,Rehab,https://www.youtube.com/results?search_query=Amy+Winehouse+Rehab
Gnarls Barkley,Crazy,https://www.youtube.com/results?search_query=Gnarls+Barkley+Crazy
Black Eyed Peas,I Gotta Feeling,https://www.youtube.com/results?search_query=Black+Eyed+Peas+I+Gotta+Feeling
Nelly,Hot in Herre,https://www.youtube.com/results?search_query=Nelly+Hot+in+Herre
Alicia Keys,No One,https://www.youtube.com/results?search_query=Alicia+Keys+No+One
Linkin Park,In the End,https://www.youtube.com/results?search_query=Linkin+Park+In+the+End
The White Stripes,Seven Nation Army,https://www.youtube.com/results?search_query=The+White+Stripes+Seven+Nation+Army
Fall Out Boy,Sugar We're Goin Down,https://www.youtube.com/results?search_query=Fall+Out+Boy+Sugar+We%27re+Goin+Down
Kelly Clarkson,Since U Been Gone,https://www.youtube.com/results?search_query=Kelly+Clarkson+Since+U+Been+Gone
Panic! at the Disco,I Write Sins Not Tragedies,https://www.youtube.com/results?search_query=Panic%21+at+the+Disco+I+Write+Sins+Not+Tragedies
50 Cent,In Da Club,https://www.youtube.com/results?search_query=50+Cent+In+Da+Club
Christina Aguilera,Beautiful,https://www.youtube.com/results?search_query=Christina+Aguilera+Beautiful
Avril Lavigne,Complicated,https://www.youtube.com/results?search_query=Avril+Lavigne+Complicated
Maroon 5,This Love,https://www.youtube.com/results?search_query=Maroon+5+This+Love
Jay-Z,Empire State of Mind,https://www.youtube.com/results?search_query=Jay-Z+Empire+State+of+Mind
T.I.,Whatever You Like,https://www.youtube.com/results?search_query=T.I.+Whatever+You+Like
Sean Paul,Get Busy,https://www.youtube.com/results?search_query=Sean+Paul+Get+Busy
Destiny's Child,Bootylicious,https://www.youtube.com/results?search_query=Destiny%27s+Child+Bootylicious
Ashanti,Foolish,https://www.youtube.com/results?search_query=Ashanti+Foolish
Evanescence,Bring Me to Life,https://www.youtube.com/results?search_query=Evanescence+Bring+Me+to+Life
My Chemical Romance,Welcome to the Black Parade,https://www.youtube.com/results?search_query=My+Chemical+Romance+Welcome+to+the+Black+Parade
Justin Timberlake,SexyBack,https://www.youtube.com/results?search_query=Justin+Timberlake+SexyBack
Katy Perry,I Kissed a Girl,https://www.youtube.com/results?search_query=Katy+Perry+I+Kissed+a+Girl
Lady Gaga,Just Dance,https://www.youtube.com/results?search_query=Lady+Gaga+Just+Dance
Flo Rida,Low,https://www.youtube.com/results?search_query=Flo+Rida+Low
Akon,Smack That,https://www.youtube.com/results?search_query=Akon+Smack+That
Shakira,Hips Don't Lie,https://www.youtube.com/results?search_query=Shakira+Hips+Don%27t+Lie
Snow Patrol,Chasing Cars,https://www.youtube.com/results?search_query=Snow+Patrol+Chasing+Cars
Daft Punk,One More Time,https://www.youtube.com/results?search_query=Daft+Punk+One+More+Time
Norah Jones,Don't Know Why,https://www.youtube.com/results?search_query=Norah+Jones+Don%27t+Know+Why
Nickelback,How You Remind Me,https://www.youtube.com/results?search_query=Nickelback+How+You+Remind+Me
3 Doors Down,Kryptonite,https://www.youtube.com/results?search_query=3+Doors+Down+Kryptonite
Britney Spears,Toxic,https://www.youtube.com/results?search_query=Britney+Spears+Toxic
The Killers,Mr. Brightside,https://www.youtube.com/results?search_query=The+Killers+Mr.+Brightside
Kelly Rowland,Dilemma,https://www.youtube.com/results?search_query=Kelly+Rowland+Dilemma
Timbaland,Apologize,https://www.youtube.com/results?search_query=Timbaland+Apologize
